,symbol
747,ASTI
748,ASTR
749,ASTS
750,ASTSW
751,ASUR
752,ASX
753,ASXC
754,ASYS
755,ASZ-UN
756,ASZ
757,ATA-UN
758,ATA
759,ATAI
760,ATAO
761,ATAX
762,ATC
763,ATCC
764,ATCX
765,ATDS
766,ATEC
767,ATEK
768,ATEN
769,ATER
770,ATEX
771,ATGE
772,ATHA
773,ATHX
774,ATI
775,ATIP
776,ATLC
777,ATLCP
778,ATLO
779,ATMR
780,ATMS
781,ATNF
782,ATNI
783,ATNM
784,ATNX
785,ATOM
786,ATOS
787,ATRA
788,ATRC
789,ATRO
790,ATROB
791,ATRS
792,ATRX
793,ATSG
794,ATSPT
795,ATSPU
796,ATSPW
797,ATUS
798,ATVC
799,ATVCU
800,ATVCW
801,ATXI
802,ATXS
803,ATYG
804,AUB
805,AUBAP
806,AUBN
807,AUD
808,AUGX
809,AUID
810,AUMN
811,AUOTY
812,AUR
813,AURA
814,AURC
815,AURCU
816,AURCW
817,AUROW
818,AUS-UN
819,AUS
820,AUSI
821,AUTL
822,AUTO
823,AUUD
824,AUUDW
825,AUVI
826,AUVIP
827,AVA
828,AVAC
829,AVACU
830,AVAH
831,AVCO
832,AVCT
833,AVCTW
834,AVD
835,AVDX
836,AVEO
837,AVGR
838,AVHHL
839,AVHI
840,AVHIU
841,AVID
842,AVIR
843,AVNI
844,AVNS
845,AVNT
846,AVNW
847,AVOI
848,AVPT
849,AVRO
850,AVT
851,AVTE
852,AVTR
853,AVTX
854,AVXL
855,AVYA
856,AWC.DE
857,AWH
858,AWM.DE
859,AWRE
860,AWX
861,AX
862,AXAS
863,AXDX
864,AXGN
865,AXH
866,AXIM
867,AXL
868,AXLA
869,AXNX
870,AXSM
871,AXTA
872,AXTI
873,AY
874,AYLA
875,AYRWF
876,AYTU
877,AYX
878,AZEK
879,AZN
880,AZN.L
881,AZRX
882,AZYO
883,AZZ
884,B
885,BABB
886,BAC-PB
887,BAC-PK
888,BAC-PL
889,BAC-PM
890,BAC-PN
891,BAC-PO
892,BAC-PP
893,BAC
894,BAFN
895,BALY
896,BANC
897,BAND
898,BANF
899,BANFP
900,BANR
901,BANT
902,BANX
903,BARC.L
904,BARK
905,BASA
906,BASX
907,BATL
908,BATRA
909,BATRB
910,BATRK
911,BBBT
912,BBBY
913,BBDC
914,BBGI
915,BBI
916,BBIG
917,BBIO
918,BBLG
919,BBLGW
920,BBQ
921,BBSI
922,BBXIB
923,BCAB
924,BCAC
925,BCACU
926,BCACW
927,BCBP
928,BCC
929,BCDA
930,BCDAW
931,BCEI
932,BCEL
933,BCLI
934,BCML
935,BCO
936,BCO.DE
937,BCOR
938,BCOV
939,BCOW
940,BCRD
941,BCRX
942,BCS
943,BCSF
944,BCYC
945,BCYP
946,BCYPU
947,BCYPW
948,BDC
949,BDCO
950,BDIC
951,BDL
952,BDN
953,BDPT
954,BDR
955,BDSI
956,BDSX
957,BDTX
958,BDXB
959,BE
960,BEAM
961,BEAT
962,BEBE
963,BECN
964,BEEM
965,BEGI
966,BELFA
967,BELFB
968,BEN
969,BENE
970,BENEU
971,BENH
972,BEPC
973,BERY
974,BESI.AS
975,BFC
976,BFI
977,BFIN
978,BFLY
979,BFNH
980,BFRA
981,BFRI
982,BFS-PE
983,BFS
984,BFST
985,BFYW
986,BGCP
987,BGEO.L
988,BGEPF
989,BGFV
990,BGRY
991,BGS
992,BGSF
993,BGSX
994,BHAC
995,BHACU
996,BHACW
997,BHB
998,BHE
999,BHF
1000,BHFAN
1001,BHFAO
1002,BHFAP
1003,BHG
1004,BHIL
1005,BHLB
1006,BHR-PD
1007,BHR
1008,BHSE
1009,BHSEU
1010,BHTG
1011,BICX
1012,BIGC
1013,BIOC
1014,BIOL
1015,BIOT
1016,BIOTU
1017,BIOTW
1018,BIPC
1019,BIRD
1020,BIVI
1021,BIXT
1022,BJDX
1023,BJRI
1024,BK
1025,BKCC
1026,BKD
1027,BKEP
1028,BKEPP
1029,BKGM
1030,BKH
1031,BKI
1032,BKR
1033,BKSC
1034,BKSY
1035,BKTI
1036,BKU
1037,BKYI
1038,BLAB
1039,BLBD
1040,BLBX
1041,BLCM
1042,BLDE
1043,BLDEW
1044,BLDR
1045,BLFS
1046,BLFY
1047,BLGO
1048,BLI
1049,BLIN
1050,BLKB
1051,BLMN
1052,BLMS
1053,BLNC
1054,BLND
1055,BLNG
1056,BLNGU
1057,BLNK
1058,BLNKW
1059,BLPG
1060,BLPH
1061,BLQA.DE
1062,BLSA
1063,BLTSU
1064,BLTSW
1065,BLUW
1066,BLUWU
1067,BLUWW
1068,BLZE
1069,BMAQU
1070,BMBL
1071,BMEA
1072,BML-PG
1073,BML-PH
1074,BML-PJ
1075,BMNM
1076,BMRA
1077,BMRC
1078,BMTC
1079,BMTX
1080,BMW.DE
1081,BMW3.DE
1082,BMY
1083,BNET
1084,BNFT
1085,BNGO
1086,BNGOW
1087,BNIXU
1088,BNL
1089,BNNR
1090,BNNRU
1091,BOAC-UN
1092,BOAC
1093,BOCH
1094,BODY
1095,BOE.L
1096,BOH-PA
1097,BOKFL
1098,BOLT
1099,BOMH
1100,BOMN
1101,BOOM
1102,BOTH
1103,BOTJ
1104,BOTY
1105,BOWX
1106,BOWXU
1107,BOXD
1108,BOXL
1109,BOXS
1110,BP
1111,BP.L
1112,BPET.L
1113,BPFH
1114,BPMC
1115,BPMP
1116,BPRN
1117,BPSR
1118,BPT
1119,BPT.L
1120,BPTH
1121,BPYU
1122,BPYUP
1123,BQST
1124,BRBR
1125,BRBS
1126,BRDG
1127,BRDS
1128,BRFH
1129,BRG
1130,BRGO
1131,BRIV
1132,BRIVU
1133,BRKL
1134,BRKR
1135,BRKS
1136,BRLIR
1137,BRLIW
1138,BRLT
1139,BRMK
1140,BRN
1141,BRO
1142,BROS
1143,BRP
1144,BRPM
1145,BRPMU
1146,BRSF
1147,BRSP
1148,BRST
1149,BRT
1150,BRTX
1151,BRVO
1152,BRX
1153,BRY
1154,BRYN.DE
1155,BSA
1156,BSBK
1157,BSET
1158,BSFC
1159,BSGM
1160,BSIG
1161,BSKY
1162,BSKYU
1163,BSL.DE
1164,BSM
1165,BSN-UN
1166,BSN
1167,BSPK
1168,BSQR
1169,BSRR
1170,BSTG
1171,BSVN
1172,BSX-PA
1173,BSX
1174,BSY
1175,BTAI
1176,BTBD
1177,BTCS
1178,BTCY
1179,BTDG
1180,BTHE
1181,BTIM
1182,BTN
1183,BTRS
1184,BTTR
1185,BTTX
1186,BTU
1187,BTX
1188,BUDZ
1189,BUSE
1190,BV
1191,BVH
1192,BVHBB
1193,BVS
1194,BW-PA
1195,BW
1196,BWA
1197,BWACU
1198,BWB
1199,BWEN
1200,BWFG
1201,BWL-A
1202,BWMG
1203,BWMN
1204,BWMY
1205,BWXT
1206,BXC
1207,BXMT
1208,BXRX
1209,BXS
